effect,low,mean,high,n.obs
Primary,0.6176470588235294,0.7941176470588235,0.9705882352941176,17
Control,0.4117647058823529,0.7058823529411765,1,17
Static,0.11764705882352941,0.47058823529411764,0.8823529411764706,17
