effect,low,mean,high,n.obs,group.
Primary,0.6176470588235294,0.7941176470588235,0.9411764705882353,17,control
Control,0.47058823529411764,0.7058823529411765,1,17,control
Static,0.11764705882352941,0.47058823529411764,0.8823529411764706,17,control
Primary,2.375,2.75,3,8,treatment
Control,1.75,2.375,3,8,treatment
Static,0.5,1,1.625,8,treatment
